-34,-13,-37,-8,-10,-13,-35,-105
15,7,20,7,3,5,19,108
-28,7,-55,-17,-12,-5,-75,-106
-6,-10,56,11,5,5,6,-11
27,3,-24,-14,-2,2,34,84
5,2,-32,7,2,4,-16,48
10,-17,100,27,10,-4,61,43
1,4,-33,-9,-3,-5,-35,-70
11,18,-56,-5,0,-5,9,17
12,-5,40,0,-1,10,6,42
-22,-10,-25,-10,-4,-9,-25,-16
12,12,3,5,2,17,62,118
-37,-19,17,-2,-3,-5,-64,-31
-5,-6,-22,-14,-9,-9,-5,-4
17,11,-6,3,8,4,5,52
12,4,-3,-10,-2,14,28,88
0,1,7,7,-5,4,13,-71
0,11,11,2,6,4,4,27
-34,-6,-21,-10,-11,-17,-60,-56
-14,-15,1,2,-1,-13,-5,-79
20,11,37,6,10,10,7,39
-16,-9,-8,-4,-4,-10,-31,-128
-8,22,-12,-8,-3,-2,-9,61
-21,-24,22,-1,0,-22,-22,-95
13,4,9,10,5,36,42,40
15,-5,-6,-4,-3,-9,-52,27
0,3,2,-7,-4,-4,-3,-44
-17,8,-13,-7,-7,-5,-20,-46
6,2,6,0,3,-11,-18,-36
21,38,2,-2,-1,6,33,81
-7,-49,0,17,3,20,37,-2
-4,19,-24,-14,-9,-18,-29,-38
-10,-11,5,5,3,-3,8,-13
-25,-21,1,-8,14,3,-11,-66
37,15,-14,-3,-16,-2,30,77
13,14,21,0,-5,0,19,127
-43,-13,-1,-6,-7,-17,-45,-51
-4,2,-27,-6,0,5,-20,-29
-2,-15,23,11,11,2,12,53
18,-6,-20,0,2,5,14,44
8,4,-7,-11,-10,-7,-2,-40
-12,-5,-39,-6,-4,-2,8,22
12,14,36,8,4,-1,-7,15
9,10,-4,-5,6,3,22,-35
3,-5,-7,2,-12,4,-25,-29
-6,-2,-53,0,9,-17,3,-31
-11,-16,76,8,-1,15,-19,-60
0,-11,-16,3,4,5,22,17
4,25,13,2,5,-9,19,25
40,-1,4,5,-1,8,28,78
-48,-37,-34,-17,-21,-39,-53,-51
-40,-6,-17,0,1,9,-29,-11
9,-7,7,3,1,0,-10,3
23,10,38,19,6,18,63,94
1,35,-39,-20,-6,-10,-31,59
-8,-40,10,0,-5,6,-4,-16
-7,-10,-33,-3,0,-9,-4,41
20,16,48,0,-3,1,18,-10
11,25,5,7,20,24,53,-17
-29,-16,-72,-12,-14,-26,-73,-34
-3,-3,3,-1,-10,-3,16,37
-18,8,29,0,-8,-3,-31,-13
-11,1,-7,0,9,0,-7,-10
43,22,30,11,11,16,34,23
5,2,-16,-4,12,20,14,23
-11,-7,0,-9,-22,-23,-25,-60
-19,-8,-20,-1,-6,5,-10,-13
11,19,40,9,8,-21,25,5
2,-5,6,-2,-3,6,-12,-22
15,15,-12,-2,10,45,32,22
-5,-37,-31,-10,-12,-22,-17,-12
-23,-12,21,2,1,5,-29,-64
-4,11,2,-11,-5,-21,-29,-63
4,-3,9,15,11,10,14,31
13,3,-10,3,2,3,29,-11
4,15,-6,-1,-8,-9,-2,42
-2,-19,27,6,16,8,20,57
-7,7,-17,-4,-11,-9,9,-72
-9,-9,17,-1,2,0,-13,6
2,12,-59,-15,-10,-11,-29,23
1,27,18,1,-3,2,-9,-29
-14,-38,44,13,13,-3,-14,-4
15,16,-6,-2,-9,-10,-1,-15
16,-2,-3,-2,-1,9,12,32
15,12,-15,3,19,15,63,38
-15,-27,-21,-17,-24,-16,-45,0
-5,26,-19,-10,-13,-7,21,-85
6,-21,46,16,3,-6,-19,89
-22,-1,0,2,-2,-4,-16,-82
7,-3,-18,-1,6,-2,21,46
18,13,-4,-4,7,18,-4,114
-17,-3,-14,-10,-2,-2,-12,-82
1,-6,15,6,-8,2,-1,16
-9,10,11,-1,6,-8,19,53
-7,-16,1,3,-8,-21,-13,57
7,1,8,6,3,11,19,-85
-8,1,-41,-12,-8,-4,-19,89
-24,-12,-1,0,-1,2,-26,-90
5,10,1,-2,8,6,-7,-75
25,-3,23,1,-3,2,23,66
