-2,-17,-5,-1,0,0,0,-56
-14,-16,37,5,2,4,22,-83
8,29,-24,-7,-5,-2,-6,19
5,-44,-10,5,3,1,31,76
1,25,10,1,1,6,-38,-84
-16,-21,-13,0,-2,-8,2,-59
31,45,-8,0,14,10,22,36
-6,-12,-20,-11,-23,-26,-89,29
7,10,59,3,-1,4,9,-5
26,-21,-10,9,8,12,46,108
-24,-10,5,0,-6,-7,-48,-94
17,10,10,8,11,4,35,31
6,18,-67,-8,1,3,1,-6
10,6,47,-3,-9,-10,-33,-69
-1,-47,2,-1,-3,8,24,127
-8,21,-9,-5,-1,8,-32,-126
3,21,-5,2,3,-11,11,103
-28,6,-43,-6,2,1,-23,-91
-33,-28,-16,-10,-10,-13,-19,-77
15,47,46,7,0,6,11,51
14,-27,18,3,3,6,46,93
-12,5,-16,-5,4,-2,-20,93
-17,-4,21,-2,-8,-7,23,-56
-1,21,-27,-9,-5,-5,10,-85
5,-9,75,6,-4,-1,6,73
-7,8,-17,-7,-3,-5,0,-47
23,-10,-1,8,4,8,17,108
-43,0,-26,-10,-8,-8,-48,-69
10,5,-10,-2,-6,2,1,117
-2,-23,-23,-2,1,-5,-18,-32
11,39,59,4,0,14,53,61
18,-3,0,4,1,-15,-40,66
-27,-16,-72,-10,-5,-9,-18,-85
14,8,32,5,1,6,8,114
10,21,-61,-7,5,1,-20,16
-20,-45,38,8,0,11,38,-1
-6,-7,20,0,4,0,-5,-97
-16,12,-12,-4,2,-5,-35,-107
2,14,1,3,1,10,51,86
31,15,-34,-10,-4,6,-54,85
2,-15,0,6,1,-3,-10,-91
-5,-6,28,3,4,15,26,-73
10,10,9,-5,-5,-20,-54,-55
5,0,-22,-5,4,4,63,80
-26,0,10,3,4,2,-9,-33
2,-7,11,1,-1,-5,4,72
-23,9,-18,-8,-6,-21,-18,-77
36,-20,3,2,-2,-4,47,-2
-3,0,-25,-13,-5,-1,-49,112
10,9,-49,-4,-7,-3,15,38
10,-22,43,10,6,8,19,65
-44,18,-5,-2,-1,-8,-59,-123
13,-2,10,6,4,6,45,47
24,3,-2,1,6,2,20,35
-39,-15,8,-5,-13,-6,-62,19
28,-4,45,6,2,-1,38,83
-5,16,-11,-5,-5,-11,-27,-106
-24,10,-23,-8,-7,-1,22,-18
9,-28,26,7,4,3,24,7
23,15,12,-1,5,6,39,66
-44,3,-30,-6,-4,-9,-67,-97
34,39,-8,-9,-13,-6,9,106
-15,-39,-3,6,4,14,25,-128
-39,11,-8,-3,-7,-19,-26,-112
61,30,13,6,11,16,51,127
-53,-50,3,-6,-3,-11,-41,-20
20,-7,-38,-10,-12,-2,-11,22
-13,9,24,6,0,1,20,-29
20,2,6,3,-3,-4,20,100
-17,-10,8,-1,1,3,-27,-79
-11,9,-26,-7,-5,-17,-6,-106
7,6,5,-4,-3,9,-23,79
4,-20,-16,2,6,5,10,8
13,12,-2,3,2,5,16,-46
5,-14,-15,-3,-3,-9,-40,-8
16,18,-9,0,9,9,-4,-27
-22,-9,21,-1,-14,-10,-1,-103
-3,-3,29,9,6,6,14,35
21,7,-10,0,7,-3,24,16
-34,-3,2,-2,-3,-2,-48,-47
-7,-14,-3,-11,-4,-4,15,-48
6,-20,-5,6,0,8,22,-26
2,-5,28,3,-6,-4,0,64
13,-16,-6,0,0,6,27,88
3,62,-51,-12,2,5,5,11
24,-36,80,16,9,2,49,32
-79,-25,-4,-17,-17,-19,-87,-93
17,-5,-28,-2,-4,-1,24,34
8,22,14,1,2,0,2,77
18,15,-12,-2,-1,6,20,70
16,18,-11,5,11,8,12,85
-6,-15,5,0,6,1,0,-30
-1,2,9,0,-9,-6,-9,-47
-3,-13,-34,-2,6,8,-26,-8
-1,5,24,0,-5,-23,24,-3
-4,14,-19,-5,-12,-4,-35,-67
21,-18,15,11,13,13,51,60
-27,12,-6,-13,-11,-23,-78,6
-1,-12,4,0,4,11,-5,-38
10,11,-20,-2,2,3,22,79
