60,37,19,-1,-2,1,2,9
10,50,10,2,2,1,1,-15
19,-56,-13,-2,2,13,12,12
28,127,15,6,1,-7,-6,-1
95,-23,-61,-22,-9,-5,-8,-8
-7,-2,31,11,1,-2,-3,14
-35,-43,34,1,2,0,1,-5
62,-5,3,-3,-4,2,6,12
19,-17,-5,1,2,1,8,8
54,-27,-2,-11,-8,-3,-7,-23
-7,-60,-23,3,3,-2,-2,4
23,-45,-1,-4,-1,0,5,23
-3,69,21,8,3,1,-1,7
-36,-26,-27,-15,-7,-4,-2,-3
-11,119,20,10,-7,1,1,-2
-53,-122,-14,-6,10,-5,-6,-17
-59,-26,-27,-3,-4,-2,2,-14
-48,52,23,10,3,4,-2,-6
-25,28,-9,-4,-2,-3,1,24
1,43,13,12,2,4,1,-5
34,-30,12,3,3,3,2,9
-43,-15,-16,-5,-7,-2,-2,-17
49,94,-5,3,8,-1,7,17
-25,55,-3,-9,-5,2,2,-6
6,-50,4,7,5,-3,-9,0
50,41,-6,3,1,0,4,13
-9,24,-14,-9,-6,-5,-9,3
-14,-63,-10,-6,-6,-2,-4,-7
-38,-48,-39,-8,0,-2,-3,-5
61,102,50,8,2,-1,1,6
-91,-79,-23,-4,-2,-3,-5,-29
-39,94,21,2,1,-1,1,-5
-17,-63,-30,-8,-7,-4,-4,-10
-58,14,9,-2,-2,-2,-2,-14
32,-43,2,-4,-5,-2,-3,8
66,79,-13,-14,-8,-1,0,5
50,-9,-4,9,9,1,1,9
-66,-3,-15,4,2,1,-1,3
18,-25,15,-2,-11,2,2,5
3,7,12,-1,8,-3,-5,-9
24,64,-8,0,2,5,9,22
85,-94,2,-4,-4,-4,-8,6
33,3,-13,-6,-3,-1,-2,-5
-35,5,-1,4,1,3,5,9
-7,-47,17,13,5,1,1,0
52,61,8,7,6,4,4,-9
47,20,-16,-10,0,-2,-2,-3
-68,-126,-26,-1,0,-1,-1,-5
-23,25,-9,-5,-5,-5,-3,2
14,88,57,7,1,2,4,18
75,-33,-14,12,6,1,0,7
76,-26,-5,-1,0,-1,-2,-10
-16,44,0,-6,-6,-4,-8,-23
38,-69,-19,-5,-6,0,2,9
2,87,-6,1,5,-2,-2,-4
-66,-60,20,1,-5,0,2,12
-29,-2,22,-2,-1,4,5,5
6,-20,-61,-13,-6,-4,-7,-18
-15,-5,36,2,2,3,8,31
30,11,-8,5,1,-3,-7,-21
16,118,19,-1,0,0,1,1
-128,-69,-45,-5,-9,2,2,-19
13,-4,-2,-7,2,0,2,20
-25,101,6,7,2,3,3,9
-32,-2,27,5,2,2,0,3
-93,-17,-2,2,3,2,6,12
-18,-45,-30,-13,-5,-3,-4,-3
2,33,29,16,6,3,-2,-14
82,4,11,8,1,-2,1,11
-81,2,-21,-11,-2,-2,-3,-1
45,-6,10,6,0,1,4,-2
38,-18,-11,-8,-3,-1,0,10
-34,-56,-19,-8,-9,-7,-17,-55
127,100,9,11,11,2,13,52
-91,-46,-17,-10,-2,-7,-12,-45
19,25,-18,-10,-8,-2,-5,5
14,12,47,10,2,0,7,23
46,80,3,0,-1,-2,-5,-9
-84,-3,9,5,1,2,8,11
-18,-55,-35,-11,-6,-5,-6,-22
-46,-76,-26,-5,1,1,-1,2
55,13,44,5,2,-1,-2,-8
30,-46,-7,-3,-3,-1,-2,-3
40,41,-19,5,4,1,6,8
-20,83,18,4,5,5,5,8
18,-39,-33,-4,-10,-5,-4,-13
36,-27,8,-1,3,2,-8,-29
58,-70,25,3,-2,-5,0,19
72,8,-9,-11,-18,-3,-3,6
-66,20,0,-5,7,-3,-7,-21
5,105,5,12,4,7,10,39
3,127,36,5,2,0,-1,2
-40,-128,-33,-14,-5,-4,-9,-21
-58,-48,17,1,1,3,1,3
54,81,5,1,-2,-1,-1,20
9,44,-6,4,8,7,4,-6
39,40,12,-3,-3,-2,-6,-14
22,6,-13,-4,-2,-5,8,41
38,86,11,0,1,4,18,-6
-70,-56,-11,-8,-4,0,-9,-11
