17,0,-2,-1,63,1,-30,4
-25,3,1,3,26,-23,51,7
-26,-16,2,3,20,-78,-15,2
2,-12,-2,-3,-27,-31,-59,-6
-6,-2,-1,-8,27,-5,19,0
10,2,-2,-3,-16,-6,-3,-2
1,13,1,0,35,42,-36,-5
-7,-8,-2,-3,15,-50,-30,-6
3,8,0,0,-7,9,-5,-3
1,-10,2,0,3,0,-75,6
3,11,0,0,-46,1,4,-12
11,14,4,0,-2,-2,-24,9
-6,1,2,5,16,-13,71,2
2,-6,-1,-1,24,19,33,0
8,10,4,2,-30,13,33,10
1,-6,-1,-8,-25,74,44,5
7,-11,-1,2,-86,-54,-55,0
-4,-2,-2,-7,-45,40,13,1
8,-7,2,-1,-9,24,-18,12
1,9,2,6,0,36,2,-5
0,2,7,1,1,-65,7,14
8,-9,-7,-3,-26,-11,-28,-11
18,18,-5,-1,-30,-6,9,1
-23,-37,-4,1,58,15,46,-6
2,8,-2,2,-24,-25,-29,6
2,0,2,2,13,-60,15,11
-4,-2,-6,-4,18,54,-12,-42
13,13,0,1,15,-11,8,1
-21,5,1,2,-32,25,10,6
7,5,0,4,52,27,25,-29
-6,-18,-2,-6,-4,27,17,10
-9,4,-3,-2,-68,-63,5,3
2,-8,-6,-7,34,22,-77,-29
-2,-1,0,0,-39,-18,-22,-3
4,1,0,-3,18,25,16,9
-3,9,5,4,10,8,21,-2
1,2,5,3,-21,-25,-31,1
-18,-16,-5,-2,-24,-32,41,8
10,3,-1,-2,2,-1,15,-20
-3,-3,0,2,-36,-47,21,-7
2,3,-1,-1,58,-6,84,30
16,28,3,-2,47,1,-40,-17
-8,-26,-6,-7,-43,29,45,18
5,1,1,4,19,79,13,4
-4,-10,0,1,-7,-36,64,9
10,-2,0,4,-39,2,-5,7
-21,-10,-7,-9,39,7,21,-13
16,20,0,3,9,-48,-24,8
-1,-6,1,1,-20,5,5,1
6,0,3,6,29,-11,-42,7
-7,6,2,6,44,-17,54,3
-1,-4,-4,-7,-12,19,11,-3
-4,1,-3,-2,77,56,12,4
-2,6,1,-1,-35,-7,-6,1
4,1,-1,4,-1,-60,-51,-9
-6,-9,-4,-6,-9,-35,-39,1
-3,13,-4,-3,38,-30,-4,-3
-3,-43,0,-1,-13,40,-11,-36
-5,13,-1,-4,-25,3,12,10
16,-3,-8,-9,13,65,-4,-3
-20,-8,-2,0,-52,-8,-76,-18
12,11,-1,-1,23,-17,17,8
-9,-1,-2,-2,-109,-73,18,-9
1,-14,4,6,51,-60,2,22
8,16,1,3,-38,7,-41,-24
-4,1,-3,-5,-24,-42,19,7
9,2,2,0,-2,34,-37,3
-2,10,-2,-1,-21,49,5,3
7,3,-3,-3,-31,-52,11,2
-1,-2,-6,-5,71,31,23,-1
10,13,5,4,1,16,-15,-7
-16,-43,-3,-2,1,-69,-10,-15
-9,-8,2,-1,-45,56,-28,1
5,-10,-5,-1,43,29,37,5
11,15,4,7,49,3,-76,6
-13,-8,-2,-7,5,87,-47,-9
22,23,0,-3,2,-45,-29,4
-13,-10,1,0,-35,-37,-20,21
-5,-23,0,-1,-2,-51,-12,-31
3,31,-2,0,0,64,-7,2
-3,-20,-1,-6,-9,-26,44,-7
16,19,4,4,49,20,-12,9
3,0,-3,-4,36,10,8,9
-18,-11,-1,0,-78,-23,-9,14
1,14,2,4,-4,12,-6,-7
-7,-4,-2,-3,38,33,-63,-8
15,7,0,1,33,-67,-12,2
-21,2,0,3,-13,4,-3,5
-1,1,-1,6,76,27,-20,1
0,14,3,-1,-30,-38,-7,-17
-12,-14,-1,-2,-14,35,-8,-8
2,-3,-7,-5,-14,14,9,8
-2,2,2,6,17,24,25,0
6,-3,-1,6,-17,-2,4,-1
-8,-5,-1,-3,96,16,-20,3
20,12,4,3,-1,-72,44,-13
-4,-7,0,-5,-24,8,28,8
-10,-5,0,0,-14,19,-17,-5
6,5,-2,-2,-64,11,42,10
7,20,6,-2,-13,-12,10,-5
